"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2005-01",5.072987,
"AUS","HUR","TOT","PC_LF","M","2005-02",5.083802,
"AUS","HUR","TOT","PC_LF","M","2005-03",5.162489,
"AUS","HUR","TOT","PC_LF","M","2005-04",5.121309,
"AUS","HUR","TOT","PC_LF","M","2005-05",5.098872,
"AUS","HUR","TOT","PC_LF","M","2005-06",4.94981,
"AUS","HUR","TOT","PC_LF","M","2005-07",4.97139,
"AUS","HUR","TOT","PC_LF","M","2005-08",4.901498,
"AUS","HUR","TOT","PC_LF","M","2005-09",5.001823,
"AUS","HUR","TOT","PC_LF","M","2005-10",5.015528,
"AUS","HUR","TOT","PC_LF","M","2005-11",4.93734,
"AUS","HUR","TOT","PC_LF","M","2005-12",5.069471,
"AUS","HUR","TOT","PC_LF","M","2006-01",5.161906,
"AUS","HUR","TOT","PC_LF","M","2006-02",5.10331,
"AUS","HUR","TOT","PC_LF","M","2006-03",4.866817,
"AUS","HUR","TOT","PC_LF","M","2006-04",4.964971,
"AUS","HUR","TOT","PC_LF","M","2006-05",4.797629,
"AUS","HUR","TOT","PC_LF","M","2006-06",4.807896,
"AUS","HUR","TOT","PC_LF","M","2006-07",4.656178,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.712348,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.665715,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463061,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.51481,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.567668,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.553522,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.634428,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.459424,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.385401,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.263856,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.323926,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.252783,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.299377,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.213095,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.326065,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.426589,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.308043,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.221101,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.979261,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.056791,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.264789,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.265541,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.243356,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.249778,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.015936,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.288983,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.289952,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.462739,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.569769,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.907195,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.303065,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.710812,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.51174,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.810832,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.861228,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.671197,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.716028,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.661774,
"AUS","HUR","TOT","PC_LF","M","2009-10",5.623338,
"AUS","HUR","TOT","PC_LF","M","2009-11",5.558527,
"AUS","HUR","TOT","PC_LF","M","2009-12",5.490886,
"AUS","HUR","TOT","PC_LF","M","2010-01",5.265162,
"AUS","HUR","TOT","PC_LF","M","2010-02",5.299377,
"AUS","HUR","TOT","PC_LF","M","2010-03",5.422017,
"AUS","HUR","TOT","PC_LF","M","2010-04",5.496823,
"AUS","HUR","TOT","PC_LF","M","2010-05",5.228072,
"AUS","HUR","TOT","PC_LF","M","2010-06",5.144214,
"AUS","HUR","TOT","PC_LF","M","2010-07",5.285612,
"AUS","HUR","TOT","PC_LF","M","2010-08",5.034423,
"AUS","HUR","TOT","PC_LF","M","2010-09",5.054914,
"AUS","HUR","TOT","PC_LF","M","2010-10",5.284575,
"AUS","HUR","TOT","PC_LF","M","2010-11",5.109379,
"AUS","HUR","TOT","PC_LF","M","2010-12",4.876598,
"AUS","HUR","TOT","PC_LF","M","2011-01",5.002313,
"AUS","HUR","TOT","PC_LF","M","2011-02",4.97368,
"AUS","HUR","TOT","PC_LF","M","2011-03",4.92557,
"AUS","HUR","TOT","PC_LF","M","2011-04",4.957224,
"AUS","HUR","TOT","PC_LF","M","2011-05",5.01145,
"AUS","HUR","TOT","PC_LF","M","2011-06",4.917608,
"AUS","HUR","TOT","PC_LF","M","2011-07",5.088758,
"AUS","HUR","TOT","PC_LF","M","2011-08",5.272167,
"AUS","HUR","TOT","PC_LF","M","2011-09",5.222796,
"AUS","HUR","TOT","PC_LF","M","2011-10",5.188062,
"AUS","HUR","TOT","PC_LF","M","2011-11",5.231625,
"AUS","HUR","TOT","PC_LF","M","2011-12",5.197142,
"AUS","HUR","TOT","PC_LF","M","2012-01",5.045378,
"AUS","HUR","TOT","PC_LF","M","2012-02",5.19595,
"AUS","HUR","TOT","PC_LF","M","2012-03",5.181485,
"AUS","HUR","TOT","PC_LF","M","2012-04",4.991785,
"AUS","HUR","TOT","PC_LF","M","2012-05",5.196926,
"AUS","HUR","TOT","PC_LF","M","2012-06",5.164741,
"AUS","HUR","TOT","PC_LF","M","2012-07",5.177216,
"AUS","HUR","TOT","PC_LF","M","2012-08",5.158214,
"AUS","HUR","TOT","PC_LF","M","2012-09",5.48962,
"AUS","HUR","TOT","PC_LF","M","2012-10",5.41179,
"AUS","HUR","TOT","PC_LF","M","2012-11",5.258221,
"AUS","HUR","TOT","PC_LF","M","2012-12",5.433362,
"AUS","HUR","TOT","PC_LF","M","2013-01",5.385361,
"AUS","HUR","TOT","PC_LF","M","2013-02",5.401308,
"AUS","HUR","TOT","PC_LF","M","2013-03",5.63782,
"AUS","HUR","TOT","PC_LF","M","2013-04",5.584512,
"AUS","HUR","TOT","PC_LF","M","2013-05",5.60567,
"AUS","HUR","TOT","PC_LF","M","2013-06",5.698112,
"AUS","HUR","TOT","PC_LF","M","2013-07",5.62953,
"AUS","HUR","TOT","PC_LF","M","2013-08",5.844802,
"AUS","HUR","TOT","PC_LF","M","2013-09",5.706998,
"AUS","HUR","TOT","PC_LF","M","2013-10",5.82668,
"AUS","HUR","TOT","PC_LF","M","2013-11",5.799514,
"AUS","HUR","TOT","PC_LF","M","2013-12",5.902176,
"AUS","HUR","TOT","PC_LF","M","2014-01",5.937429,
"AUS","HUR","TOT","PC_LF","M","2014-02",5.888751,
